id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
16031000,155000,APARTMENT,APARTMENT,Wallonia,Hainaut,Thuin,6150,,,2013,89,,2,2,INSTALLED,0,0,1,2,0,0,0,1,AS_NEW,600,G,ELECTRIC,1,824
24233000,399000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2627,51.1174969,4.3339147,,125,0,4,3,HYPER_EQUIPPED,0,0,1,21,0,0,0,1,AS_NEW,,MISSING,MISSING,1,
66993000,179000,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9500,,,,63,,2,1,USA_INSTALLED,0,0,0,0,0,0,0,1,GOOD,227,C,GAS,1,
64565000,449000,HOUSE,VILLA,Wallonia,Walloon Brabant,Nivelles,1420,50.6865628,4.3877355,1960,153,1047,4,4,MISSING,0,0,1,,0,0,0,0,MISSING,598,G,FUELOIL,0,2476
1321000,249999,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6141,,,1940,297,530,3,4,USA_HYPER_EQUIPPED,0,0,1,60,1,320,1,1,GOOD,331,D,GAS,1,
69972000,396140,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8570,50.8356859,3.404499,,,,,2,MISSING,0,0,0,0,0,0,0,1,MISSING,,MISSING,MISSING,0,
24896000,222000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5030,50.5619089,4.6922689,1999,85,,1,2,INSTALLED,0,0,1,2,0,0,0,0,GOOD,91,B,GAS,1,1205
31582000,525000,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1430,,,1976,200,2500,4,5,INSTALLED,0,1,1,32,1,2500,0,1,JUST_RENOVATED,451,F,FUELOIL,1,1616
715000,245000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2050,51.2209858,4.378666,1970,88,,2,2,USA_HYPER_EQUIPPED,0,0,1,,0,0,0,0,AS_NEW,123,B,GAS,1,798
70722000,355500,APARTMENT,PENTHOUSE,Wallonia,Hainaut,Soignies,7090,,,,130,,3,3,INSTALLED,0,1,1,54,0,0,0,1,MISSING,11,A+,GAS,1,
